net,length_um
net17,124.29
sub_r,80.58
clknet_1_1__leaf_clk,65.06
clknet_1_0__leaf_clk,63.74
net18,44.23
clk,42.56
_10_,41.96
clknet_0_clk,38.46
net2,35.34
net9,33.48
ovf,31.2
b_in[1],25.28
b_r\[1\],19.82
net4,19.7
_08_,19.24
a_r\[2\],18.86
b_r\[3\],16.02
_13_,15.42
net7,14.73
net20,14.54
a_in[1],14.24
_14_,14.205
a_r\[1\],14.16
a_r\[0\],13.72
net10,13.66
net6,13.04
sum\[1\],12.92
b_in[2],11.91
_01_,11.74
a_in[3],11.68
b_in[0],11.68
sub_in,11.68
a_in[2],11.45
sum\[0\],11.34
y_out[2],11
net5,10.9
_02_,10.86
_00_,10.6
b_in[3],9.64
net13,9.62
sum\[4\],8.98
y_out[0],8.96
net1,8.72
net8,8.6
_05_,8.44
_07_,8.44
sum\[2\],7.8
a_r\[3\],7.72
_12_,7.52
_11_,6.6
net19,6.6
b_r\[0\],6.52
net21,6.38
_16_,5.82
_15_,5.68
_03_,5.5
_17_,5.48
net11,5.38
b_r\[2\],5.36
_04_,5.22
net15,5.22
y_out[1],5.19
_09_,5.16
ovf_out,4.85
rst_n,4.61
cout_out,4.39
y_out[3],4.39
a_in[0],3.93
_18_,3.64
net16,3.56
_19_,3.54
_06_,2.96
net3,2.765
sum\[3\],2.74
net12,2.5
net14,1.82
